,FileName,XMin,XMax,YMin,YMax,ClassName
0,0000b9115cdf1e54.jpg,0.095703,0.7070310000000001,0.497396,0.949219,Mobile phone
1,0004c03cb6520680.jpg,0.0825,0.14875,0.501111,0.763333,Person
2,0004c03cb6520680.jpg,0.14625,0.2025,0.483333,0.728889,Person
3,0004c03cb6520680.jpg,0.29,0.33625,0.49444399999999994,0.576667,Person
4,0004c03cb6520680.jpg,0.45125,0.526875,0.52,0.757778,Person
5,0004c03cb6520680.jpg,0.616875,0.666875,0.498889,0.574444,Person
6,0004c03cb6520680.jpg,0.669375,0.726875,0.526667,0.717778,Person
7,0004c03cb6520680.jpg,0.779375,0.835625,0.5444439999999999,0.704444,Person
8,0004c03cb6520680.jpg,0.894375,0.96125,0.504444,0.708889,Person
9,000fe94a7fc81d24.jpg,0.075,0.34375,0.65,0.82,Car
10,000fe94a7fc81d24.jpg,0.3975,0.59625,0.5925,0.730833,Car
11,00115506f32aa051.jpg,0.12758,0.61257,0.604375,0.795,Mobile phone
12,001bdcfe3d6ea079.jpg,0.645403,0.737336,0.490625,0.519375,Car
13,0022fdfc1880d432.jpg,0.0,0.20875,0.261667,0.515,Car
14,0022fdfc1880d432.jpg,0.04875,0.94875,0.1525,0.86,Car
15,002ccb771c6d8d4d.jpg,0.16375,0.63375,0.503731,0.826493,Car
16,002ccb771c6d8d4d.jpg,0.56875,0.86375,0.559702,0.651119,Car
17,002ccb771c6d8d4d.jpg,0.7825,0.98,0.557836,0.647388,Car
18,002f269e98e55152.jpg,0.069375,0.113125,0.37033699999999997,0.750682,Person
19,002f269e98e55152.jpg,0.1,0.14875,0.387625,0.715196,Person
20,002f269e98e55152.jpg,0.14125,0.174375,0.413103,0.542311,Person
21,002f269e98e55152.jpg,0.163125,0.1875,0.404004,0.521383,Person
22,002f269e98e55152.jpg,0.174375,0.20125,0.411283,0.536852,Person
23,002f269e98e55152.jpg,0.205625,0.224375,0.411283,0.5068239999999999,Person
24,002f269e98e55152.jpg,0.35125,0.423125,0.382166,0.682439,Person
25,002f269e98e55152.jpg,0.360625,0.425625,0.411283,0.7097359999999999,Person
26,002f269e98e55152.jpg,0.424375,0.6125,0.379436,0.6760689999999999,Person
27,002f269e98e55152.jpg,0.428125,0.518125,0.409463,0.7570520000000001,Person
28,002f269e98e55152.jpg,0.530625,0.620625,0.387625,0.78071,Person
29,002f269e98e55152.jpg,0.60125,0.6575,0.40218400000000004,0.760692,Person
30,002f269e98e55152.jpg,0.784375,0.935625,0.191083,0.687898,Mobile phone
31,003f713047862327.jpg,0.0,0.0825,0.4475,0.575,Car
32,003f713047862327.jpg,0.189375,0.55375,0.48,0.666667,Car
33,003f713047862327.jpg,0.715,0.999375,0.505833,0.715,Car
34,0044535b6c092973.jpg,0.0,0.99875,0.56,0.998333,Car
35,00507b5d6fdd6468.jpg,0.186875,0.865625,0.055451,0.8731200000000001,Mobile phone
36,005cb9e795fa91de.jpg,0.20625,0.682813,0.353125,0.8484370000000001,Mobile phone
37,00613c113f75a36b.jpg,0.33375,0.866875,0.1475,0.999167,Mobile phone
38,00761da5133a6839.jpg,0.835,0.92625,0.535411,0.776204,Mobile phone
39,007b3d748a2d2396.jpg,0.098438,0.771875,0.160417,0.76875,Mobile phone
40,00820c80468d1854.jpg,0.0,0.996875,0.0,0.997917,Mobile phone
41,008fca43bfc5e834.jpg,0.340625,0.53,0.49113,0.717087,Car
42,008fca43bfc5e834.jpg,0.533125,0.6075,0.510738,0.585434,Car
43,008fca43bfc5e834.jpg,0.6,0.71125,0.5088699999999999,0.6013069999999999,Car
44,008fca43bfc5e834.jpg,0.890625,0.999375,0.499533,0.616247,Car
45,00af8ab063fb1cf0.jpg,0.04125,0.92875,0.0675,0.908333,Mobile phone
46,00c1c81c16f2fc9a.jpg,0.011111,0.685556,0.129927,0.8175180000000001,Mobile phone
47,00c68c590d7e3ec0.jpg,0.014375,0.135625,0.8125,0.986667,Mobile phone
48,00c68c590d7e3ec0.jpg,0.100625,0.9975,0.134167,0.999167,Person
49,00d2c29446861097.jpg,0.4,0.889375,0.264239,0.6171800000000001,Mobile phone
50,00de180ec38b8bf4.jpg,0.171875,0.253125,0.7075,0.99,Person
51,00de180ec38b8bf4.jpg,0.000625,0.0925,0.681667,0.945,Person
